annee,pays,icf,flag,paysFlag,paysFlagEn
2014,Pologne,1.32,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2015,Pologne,1.32,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2016,Pologne,1.39,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2017,Pologne,1.48,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2018,Pologne,1.46,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2019,Pologne,1.44,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2020,Pologne,1.39,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2021,Pologne,1.33,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2022,Pologne,1.29,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2023,Pologne,1.2,🇵🇱,Pologne 🇵🇱,Poland 🇵🇱
2000,Espagne,1.21524,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2001,Espagne,1.23,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2002,Espagne,1.25,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2003,Espagne,1.3,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2004,Espagne,1.31,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2005,Espagne,1.33,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2006,Espagne,1.36,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2007,Espagne,1.38,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2008,Espagne,1.45,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2009,Espagne,1.38,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2010,Espagne,1.37,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2011,Espagne,1.34,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2012,Espagne,1.32,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2013,Espagne,1.27,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2014,Espagne,1.32,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2015,Espagne,1.33,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2016,Espagne,1.33,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2017,Espagne,1.31,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2018,Espagne,1.26,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2019,Espagne,1.23,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2020,Espagne,1.18,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2021,Espagne,1.18,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2022,Espagne,1.16,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2023,Espagne,1.12,🇪🇸,Espagne 🇪🇸,Spain 🇪🇸
2000,Etats-Unis,2.053,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2001,Etats-Unis,2.031,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2002,Etats-Unis,2.024,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2003,Etats-Unis,2.053,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2004,Etats-Unis,2.058,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2005,Etats-Unis,2.061,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2006,Etats-Unis,2.112,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2007,Etats-Unis,2.122,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2008,Etats-Unis,2.074,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2009,Etats-Unis,2.002,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2010,Etats-Unis,1.925,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2011,Etats-Unis,1.889,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2012,Etats-Unis,1.874,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2013,Etats-Unis,1.851,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2014,Etats-Unis,1.863,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2015,Etats-Unis,1.845,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2016,Etats-Unis,1.817,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2017,Etats-Unis,1.765,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2018,Etats-Unis,1.727,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2019,Etats-Unis,1.702,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2020,Etats-Unis,1.639,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2021,Etats-Unis,1.659,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2022,Etats-Unis,1.657,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2023,Etats-Unis,1.622,🇺🇸,Etats-Unis 🇺🇸,United-States 🇺🇸
2000,Japon,1.362,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2001,Japon,1.339,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2002,Japon,1.324,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2003,Japon,1.297,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2004,Japon,1.295,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2005,Japon,1.256,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2006,Japon,1.31,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
2007,Japon,1.326,🇯🇵,Japon 🇯🇵,Japan 🇯🇵
